sync_event_id,ts_zed,ts_left,ts_right,sys_diff_zed_left(s),sys_diff_zed_right(s),sys_diff_left_right(s),sys_diff_max(s)
1761712847804950544,2519.309115,2519.301182,2519.279194,0.007933,0.029921,0.021988,0.029921
1761712847871242752,2519.375804,2519.365182,2519.343195,0.010622,0.032609,0.021988,0.032609
1761712847938174783,2519.442345,2519.429162,2519.40738,0.013183,0.034965,0.021782,0.034965
1761712848004468622,2519.509096,2519.493184,2519.471377,0.015911,0.037719,0.021807,0.037719
1761712848071608016,2519.575712,2519.553149,2519.531327,0.022563,0.044385,0.021822,0.044385
1761712848135267013,2519.642332,2519.617145,2519.595356,0.025187,0.046977,0.021789,0.046977
1761712848204551867,2519.70907,2519.68113,2519.659347,0.02794,0.049723,0.021783,0.049723
1761712848271029872,2519.775686,2519.745121,2519.723583,0.030565,0.052102,0.021538,0.052102
1761712848339083296,2519.842429,2519.809326,2519.787114,0.033102,0.055315,0.022213,0.055315
1761712848404784726,2519.909237,2519.869318,2519.84712,0.039919,0.062117,0.022198,0.062117
1761712848471279208,2519.97565,2519.933101,2519.911288,0.042549,0.064362,0.021812,0.064362
1761712848537719106,2520.042388,2519.997094,2520.039077,0.045294,0.003311,-0.041983,0.045294
1761712848604376512,2520.108997,2520.061082,2520.103303,0.047915,0.005694,-0.042222,0.047915
1761712848671017857,2520.175626,2520.12508,2520.167063,0.050546,0.008564,-0.041982,0.050546
1761712848738057231,2520.242365,2520.189499,2520.227058,0.052867,0.015307,-0.03756,0.052867
1761712848804736235,2520.308985,2520.249056,2520.291077,0.059929,0.017908,-0.042021,0.059929
1761712848871342032,2520.375606,2520.313254,2520.355145,0.062353,0.020462,-0.041891,0.062353
1761712848937804230,2520.44234,2520.37704,2520.419269,0.0653,0.023071,-0.042229,0.0653
1761712849005234725,2520.508959,2520.505035,2520.48324,0.003924,0.025719,0.021794,0.025719
1761712849071131166,2520.575635,2520.565023,2520.543256,0.010612,0.032379,0.021767,0.032379
1761712849137684486,2520.642306,2520.629015,2520.607248,0.013292,0.035058,0.021767,0.035058
1761712849204566661,2520.708945,2520.693218,2520.671009,0.015727,0.037936,0.022209,0.037936
1761712849271199811,2520.775675,2520.757226,2520.735009,0.018449,0.040665,0.022217,0.040665
1761712849337897848,2520.842291,2520.820984,2520.798998,0.021307,0.043293,0.021987,0.043293
1761712849404746683,2520.90891,2520.884978,2520.863177,0.023932,0.045732,0.0218,0.045732
1761712849471395127,2520.975657,2520.944979,2520.923627,0.030678,0.05203,0.021352,0.05203
1761712849538205023,2521.042289,2521.008972,2520.987193,0.033316,0.055096,0.021779,0.055096
1761712849603029374,2521.108907,2521.072962,2521.051178,0.035946,0.057729,0.021784,0.057729
1761712849665092309,2521.175613,2521.137095,2521.115163,0.038518,0.06045,0.021932,0.06045
1761712849737926863,2521.242251,2521.201131,2521.178922,0.041119,0.063329,0.022209,0.063329
